Team: 29
[+] Displaying team progression
+-----------------------------------------+--------+----------------------------+
| Flag                                    | isDone | Submit timestamp           |
+-----------------------------------------+--------+----------------------------+
| golgoth_luhn                            |  True  | 2016-11-04 16:31:41.788059 |
| golgoth_easy                            |  True  | 2016-11-04 16:58:49.889015 |
| sgunum1                                 |  True  | 2016-11-04 17:19:38.283567 |
| sg_web                                  |  True  | 2016-11-04 17:20:44.416365 |
| sg_rtfm                                 |  True  | 2016-11-04 17:25:13.893481 |
| sg_story                                |  True  | 2016-11-04 17:25:30.813917 |
| golgoth_caes                            |  True  | 2016-11-04 17:36:23.305687 |
| golgoth_hash1                           |  True  | 2016-11-04 18:00:58.359519 |
| golgoth_hash2                           |  True  | 2016-11-04 18:02:39.647266 |
| com1                                    |  True  | 2016-11-04 18:13:54.325659 |
| golgoth_esrom                           |  True  | 2016-11-04 18:26:47.204608 |
| com2                                    |  True  | 2016-11-04 18:35:14.569490 |
| golgoth_b36                             |  True  | 2016-11-04 18:47:09.073490 |
| com3                                    |  True  | 2016-11-04 18:52:45.820198 |
| sgunum5                                 |  True  | 2016-11-04 18:57:51.794670 |
| anterak_xeger                           |  True  | 2016-11-04 18:59:34.435851 |
| anterak-htam1                           |  True  | 2016-11-04 19:20:38.838564 |
| anterak-htam2                           |  True  | 2016-11-04 19:23:34.974735 |
| sgunum3                                 |  True  | 2016-11-04 19:41:12.166690 |
| shunum4                                 |  True  | 2016-11-04 20:22:49.686039 |
| monstrogoth_tar                         |  True  | 2016-11-04 20:30:01.019426 |
| sgduo1                                  |  True  | 2016-11-04 20:33:12.712246 |
| sgduo2                                  |  True  | 2016-11-04 20:37:20.717084 |
| sgduo3                                  |  True  | 2016-11-04 20:39:18.107723 |
| monstrogoth_dap                         |  True  | 2016-11-04 20:39:25.423070 |
| monstrogoth_mdsn                        |  True  | 2016-11-04 20:39:40.586218 |
| monstrogoth_nurpe                       |  True  | 2016-11-04 20:39:51.002735 |
| monstrogoth_siger                       |  True  | 2016-11-04 20:39:57.260985 |
| monstrogoth_tsoh                        |  True  | 2016-11-04 20:40:07.336695 |
| sgduo4                                  |  True  | 2016-11-04 20:40:19.961036 |
| sgduo5                                  |  True  | 2016-11-04 20:41:34.935370 |
| sgtres1                                 |  True  | 2016-11-04 20:45:01.417987 |
| sgtres2                                 |  True  | 2016-11-04 20:48:35.014791 |
| sgtres3                                 |  True  | 2016-11-04 20:50:21.643519 |
| sgtres4                                 |  True  | 2016-11-04 21:04:20.294289 |
| sgtres5                                 |  True  | 2016-11-04 21:05:56.224409 |
| sgquattuor1                             |  True  | 2016-11-04 21:09:12.117012 |
| sgquattuor2                             |  True  | 2016-11-04 21:19:35.017878 |
| sgquattuor3                             |  True  | 2016-11-04 21:20:45.579062 |
| sgquattuor4                             |  True  | 2016-11-04 21:23:39.817593 |
| sgquattuor5                             |  True  | 2016-11-04 21:25:20.013545 |
| sgquinque1                              |  True  | 2016-11-04 21:27:36.833152 |
| sgquinque2                              |  True  | 2016-11-04 21:29:32.684748 |
| sgquinque3                              |  True  | 2016-11-04 21:30:48.165325 |
| sgquinque4                              |  True  | 2016-11-04 21:32:29.456412 |
| sgquinque5                              |  True  | 2016-11-04 21:33:43.647265 |
| sgsex1                                  |  True  | 2016-11-04 21:36:29.155542 |
| sgsex2                                  |  True  | 2016-11-04 21:40:01.709982 |
| sgsex3                                  |  True  | 2016-11-04 21:43:51.901544 |
| sgsex4                                  |  True  | 2016-11-04 22:05:14.357142 |
| sgsex5                                  |  True  | 2016-11-04 22:08:31.740876 |
| sgseptem1                               |  True  | 2016-11-04 22:19:22.952170 |
| sgseptem2                               |  True  | 2016-11-04 22:32:15.732033 |
| sgseptem3                               |  True  | 2016-11-04 22:42:55.292645 |
| sgseptem4                               |  True  | 2016-11-04 22:46:58.428122 |
| board7                                  |  True  | 2016-11-04 22:50:19.898178 |
| etv02                                   |  True  | 2016-11-04 22:57:59.986349 |
| com4                                    |  True  | 2016-11-04 23:04:58.920593 |
| sgseptem5                               |  True  | 2016-11-04 23:13:50.616609 |
| sg_astronomy                            |  True  | 2016-11-04 23:28:36.914593 |
| sg_abydos                               |  True  | 2016-11-05 00:25:40.766818 |
| sg_apophis                              |  True  | 2016-11-05 00:32:35.668856 |
| sg_chulak                               |  True  | 2016-11-05 00:33:41.536874 |
| sg_edora                                |  True  | 2016-11-05 00:34:11.067457 |
| sg_euronda                              |  True  | 2016-11-05 00:34:38.043431 |
| sg_juna                                 |  True  | 2016-11-05 00:35:05.882513 |
